Name,Population,Latitude,Longitude
Ajax,"138,843",43.8500300,-79.0203500
Amherstburg,"26,889",42.0995900,-83.1030200
Arnprior,"11,264",45.4296300,-76.3544400
Aurora,"67,828",44.0068000,-79.4600600
Barrie,"169,419",44.3893600,-79.6903300
Belleville,"61,725",44.1750400,-77.3835600
Bracebridge,"18,664",45.0381500,-79.3088200
Bradford West Gwillimbury,"50,121",44.1168600,-79.5726600
Brampton,"791,486",43.7315400,-79.7624200
Brantford,"120,372",43.1394400,-80.2633200
Brockville,"23,365",44.5868500,-75.6847500
Burlington,"197,351",43.3259200,-79.7990300
Cambridge,"163,208",43.3616000,-80.3144200
Carleton Place,"13,717",45.2808800,-76.1761700
Chatham - Kent,"111,368",42.4096600,-82.1913200
Clarence-Rockland,"29,351",45.4796400,-75.2397400
"Clarington (incl. Bowmanville, Newcastle)","113,564",43.9740300,-78.6925700
Cobourg,"20,794",43.9633000,-78.1710900
Collingwood,"27,950",44.4957800,-80.2168200
Cornwall,"52,465",45.0224700,-74.7331900
"East Gwillimbury (incl. Holland Landing, Sharon)","42,054",44.1212900,-79.4673800
Elliot Lake,"12,400",46.3719900,-82.6133500
Erin,"12,733",43.7156300,-80.1385300
Essex,"23,716",42.2829700,-82.8787900
Fort Erie,"36,945",42.8905600,-78.9635400
Georgina (incl. Keswick),"52,829",44.3076400,-79.4726400
Gravenhurst,"14,453",44.9187900,-79.3805600
Greater Napanee (incl. Napanee),"17,714",44.2415300,-77.0455300
Greater Sudbury (Grand Sudbury),"186,337",46.4914100,-80.9932600
Grimsby,"31,578",43.2131100,-79.5712200
Guelph,"159,360",43.5432600,-80.2488600
"Haldimand County (incl. Cayuga, Caledonia, Hagersville)","57,032",42.9677000,-79.8958000
"Halton Hills (incl. Acton, Georgetown)","68,042",43.6485400,-79.9642800
Hamilton,"632,111",43.2557200,-79.8711000
Hawkesbury,"10,756",45.5805500,-74.6066300
Huntsville,"23,478",45.3058900,-79.2210000
Ingersoll,"14,833",43.0394100,-80.8838100
Innisfil,"49,298",44.3557100,-79.5628300
Kawartha Lakes (incl. Lindsay),"84,988",44.4013000,-78.5391700
Kenora,"15,845",49.7612200,-94.4895100
Kingston,"148,869",44.2312100,-76.4859400
Kingsville,"25,206",42.0479400,-82.5466600
Kitchener,"320,360",43.4516400,-80.4925400
"Lakeshore (incl. Belle River, Tilbury)","45,043",42.1294100,-82.4273800
LaSalle,"36,508",42.2372300,-83.0004900
Leamington,"34,245",42.0479400,-82.5466600
Lincoln (incl. Beamsville),"28,634",43.2258700,-79.5372600
London,"488,640",42.9833900,-81.2330400
Markham,"368,110",43.8561000,-79.3370200
Midland,"19,318",44.7505700,-79.8971300
Milton,"152,817",43.5185500,-79.8776500
Minto (incl. Harriston),"10,076",43.9819200,-80.9140500
Mississauga,"780,747",43.5890000,-79.6441200
Mississippi Mills (incl. Almonte),"16,907",45.2434400,-76.1231800
Mono,"10,081",44.0415900,-79.9323700
Newmarket,"95,144",44.0525700,-79.4611800
New Tecumseth (incl. Alliston),"49,507",44.1815200,-79.7740400
Niagara Falls,"111,793",43.0895600,-79.0849400
Niagara-on-the-Lake,"20,254",43.2609400,-79.0688900
Norfolk County (incl. Simcoe),"71,813",42.8733600,-80.3255800
North Bay,"61,709",46.3090600,-79.4604200
Oakville,"238,716",43.4675200,-79.6876800
Orangeville,"32,048",43.9199400,-80.0962200
Orillia,"36,588",44.6084200,-79.4251900
Oshawa,"207,408",43.8974400,-78.8654200
Ottawa,"1,153,843",45.4215300,-75.6997600
Owen Sound,"23,329",44.5695400,-80.9295300
Pelham,"19,855",43.1166200,-79.4565800
Pembroke,"15,263",45.8309200,-77.1479600
Penetanguishene,"10,921",44.7534900,-79.9294500
Petawawa,"19,462",45.9110500,-77.3290200
Peterborough,"96,058",44.3094200,-78.3190400
Pickering,"113,385",43.8384200,-79.0862500
Port Colborne,"21,830",42.8859100,-79.2526500
Port Hope,"18,651",43.9420400,-78.2812600
Prince Edward County (incl. Picton),"26,868",44.0039600,-77.0546600
Quinte West (incl. Trenton),"50,214",44.1572200,-77.2053200
Richmond Hill,"219,094",43.8828400,-79.4402700
Sarnia,"80,264",42.9745200,-82.3926000
"Saugeen Shores (incl. Port Elgin, Southampton)","17,755",44.6864000,-81.3640400
Sault Ste. Marie,"80,740",46.4901700,-84.3454900
Shelburne,"10,538",44.0513100,-80.2557600
Smiths Falls,"10,446",44.8996400,-76.0517200
St. Catharines,"152,958",43.1594400,-79.2468700
St. Thomas,"47,818",42.7776000,-81.1791800
Stratford,"35,787",43.3713500,-80.9816900
Strathroy,"27,265",42.9567200,-81.5828800
Tecumseh,"25,771",42.2917200,-82.8576900
"Temiskaming Shores (incl. Haileybury, New Liskeard)","10,261",47.3994400,-79.6552200
The Blue Mountains (incl. Thornbury),"11,157",44.4897500,-80.3362400
Thorold,"27,313",43.1161900,-79.2210400
Thunder Bay,"117,100",48.3809000,-89.2477000
Tillsonburg,"20,773",42.8733600,-80.3255800
Timmins,"44,940",48.4750000,-81.3305000
Toronto,"3,273,119",43.7000000,-79.4200000
Vaughan,"353,648",43.8376700,-79.5083500
Wasaga Beach,"28,133",44.5358200,-80.0196000
Waterloo,"144,161",43.4667900,-80.5163900
Welland,"63,874",42.9860400,-79.2489900
Whitby,"158,855",43.8970500,-78.9382200
Whitchurch - Stouffville,"56,878",43.9831800,-79.3130600
Windsor,"266,309",42.3149400,-83.0363700
Woodstock,"53,583",43.1301800,-80.7464300